;;"Проект ""Многоквартирный жилой дом по ул. Седова в г. Иркутске""";;;;;;;;;;;;;;;
;;Исполнение графика тендеров (закупка услуг);;;;;;;;;;;;;;;
;;отчетная дата:;;;31.05.2026;;;;;;;;;;;;
;ID Код;Этап работ;ГПР;Отставание;Начало тендера;;;Дата заключения договора;;;Стоимость (руб.);;;Контрагент;Договор;Статус;Комментарий к отклонениям
№ статей;;;;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;
;;;;;;;;;;;;;;;;;
;2.04.;Подготовка территории строительства;;;;;;;;;5 357 508,00  ;5 930 054,04  ;572 546,04  ;;;;Доп работы по протяжке 2 линии электроснабжения
1;2.04.01.;Снос зданий и сооружений, вырубка деревьев;;;;;;;;;;;;;;;
2;2.04.03.;Вынос сетей;;;;;;;;;;;;;;;
3;2.04.04.;Устройство площадки строительства, и вр. дороги;;;;;;;20.10.2025;;2 372 030,00  ;863 781,10  ;-1 508 248,90;Зуденков И.Э.ИП ;201575 от 20.10.2025;;
3;2.04.04.;Устройство площадки строительства, и вр. дороги;;;;;;;01.07.2025;;0,00  ;1 526 248,70  ;1 526 248,70;Гуджеджиани Б.Г. ИП ;182135 от 01.07.2025;;
4;2.04.05.;Устройство временных зданий и сооружений;;;;;;;22.12.2025;;1 716 442,00  ;2 190 188,60  ;473 746,60;Колыбелкин Р.В. ИП ;209173 от 22.12.2025;;
5;2.04.06.;Устройство ограждения площадки;;;;;;;18.07.2025;;773 146,00  ;798 145,64  ;24 999,64;Хамидулин Н.В.ИП ;175216 от 18.07.2025;;
6;2.04.07.;Вертикальная планировка;;;;;;;;;;;;;;;
7;2.04.99.;Прочие подготовительные расходы;;;;;;;01.09.2025;;495 890,00  ;551 690,00  ;55 800,00;Михайлов Н.А. ИП ;201874 от 01.09.2025;;
;;Жилой дом;;;;;;;;;;;;;;;
;2.05.;Строительство зданий и сооружений;11.06.2026;11.06.2026;;;;;;;59 238 601,27  ;56 920 753,44  ;-2 317 847,83;;;;
;2.05.01.;Земляные работы;;;;;;;;;14 722 668,03  ;14 872 289,00  ;149 620,97  ;;;;Увеличение объемов работ по отсыпке ПГС
8;2.05.01.1. ;Устройство котлована;;;;;;;15.09.2025;;4 138 492,00  ;1 500 000,00  ;965 608,00;Эльбрус ООО ;198471 от 15.09.2025;;
;;;;;;;;;01.07.2025;;;3 604 100,00  ;;Гуджеджиани Б.Г. ИП ;182135 от 01.07.2025;;
9;2.05.01.2. ;Отсыпка и уплотнение основания фундамента;;;;;;;01.07.2025;;8 057 997,03  ;6 915 506,00  ;-1 142 491,03;Гуджеджиани Б.Г. ИП ;182135 от 01.07.2025;;
10;2.05.01.9. ;Прочие земляные работы;;;;;;;18.09.2025;;2 526 179,00  ;524 520,00  ;326 504,00;Самхарадзе Н.Г. ИП ;196221 от 18.09.2025;;
;;;;;;;;;10.09.2025;;;2 328 163,00  ;;Управление строительной механизации, АО; УСМ/25-17 от 10.09.2025;;
;2.05.02.;Конструкции железобетонные ниже 0.000;;;;;;;;;44 515 933,24  ;42 048 464,44  ;-2 467 468,80  ;;;;
11;2.05.02.2. ;Устройство фундамента;;;;;;;20.10.2025;;30 948 984,00  ;28 481 515,20  ;-2 467 468,80  ;Альтаир ООО;" 198726
от 20.10.2025";;
