"Проект ""Верба""";;;;;;;;;;;;;;;;;;;;;;;
Исполнение плана продаж;;;;;;;;;;;;;;;;;;;;;;;
отчетная дата:;31.03.2026;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;* Факт с учетом расторжений и возвратов ДС по итогам расторжений;;;;;;;;;;;;;;
Наименование ;Количество, штук;;;;;;;;;Комментарии к отклонениям;;;;;;;;;;;;;
;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;;;;;;;;;;;;;
Квартиры;79;2;19;0;17;-2;-2;89,5%;21,5%;;;;;;;;;;;;;;
1-ком. квартира;29;1;4;0;3;-1;-1;75,0%;10,3%;;;;;;;;;;;;;;
2-ком. квартира;32;0;11;0;11;0;0;100,0%;34,4%;;;;;;;;;;;;;;
3-ком. квартира;16;1;4;0;3;-1;-1;75,0%;18,8%;;;;;;;;;;;;;;
4-ком. и более квартира ;2;0;0;0;0;0;0;0,0%;0,0%;всего 2 квартиры , не выводили в продажу;;;;;;;;;;;;;
Парковки;52;1;7;0;6;-1;-1;85,7%;11,5%;;;;;;;;;;;;;;
Кладовые;35;1;5;0;4;-1;-1;80,0%;11,4%;;;;;;;;;;;;;;
Коммерческие помещения;4;0;3;0;3;0;0;100,0%;75,0%;на остатках одно помещение, поменяло площадь, ждем экспертизу;;;;;;;;;;;;;
ИТОГО;170;4;34;0;30;-4;-4;88,2%;17,6%;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Наименование ;Общая площадь , кв.м;;;;;;;;;Приведенная площадь , кв.м;;;;;;;;;;;;;
;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;;;;
Квартиры;5 091,07;135,78;1 266,80;0,00;1 131,02;-135,78;-135,78;89,3%;22,2%;5 062,03;135,78;1 162,84;91,64;1 118,70;-44,14;-44,14;96,2%;22,1%;;;;;
1-ком. квартира;1 163,79;44,14;164,23;0,00;120,09;-44,14;-44,14;73,1%;10,3%;1 163,79;44,14;164,23;0,00;120,09;-44,14;-44,14;73,1%;10,3%;;;;;
2-ком. квартира;2 176,29;0,00;730,11;0,00;730,11;0,00;0,00;100,0%;33,5%;2 149,01;0,00;719,55;91,64;811,19;91,64;91,64;112,7%;37,7%;;;;;
3-ком. квартира;1 484,59;91,64;372,46;0,00;280,82;-91,64;-91,64;75,4%;18,9%;1 482,83;91,64;279,06;0,00;187,42;-91,64;-91,64;67,2%;12,6%;;;;;
4-ком. и более квартира ;266,40;0,00;0,00;0,00;0,00;0,00;0,00;0,0%;0,0%;266,40;0,00;0,00;0,00;0,00;0,00;0,00;0,0%;0,0%;;;;;
Парковки;1 054,75;15,63;82,67;43,37;110,41;27,74;27,74;133,6%;10,5%;1 054,75;15,53;82,95;43,37;110,41;27,84;27,46;133,1%;10,5%;;;;;
Кладовые;195,53;4,09;12,71;10,07;18,69;5,98;5,98;147,0%;9,6%;195,53;4,09;12,71;10,07;18,69;5,98;5,98;147,0%;9,6%;;;;;
Коммерческие помещения;338,66;0,00;255,27;0,00;255,27;0,00;0,00;100,0%;75,4%;338,66;0,00;255,27;0,00;255,27;0,00;0,00;100,0%;75,4%;;;;;
ИТОГО;6 680,01;155,50;1 617,45;53,44;1 515,39;-102,06;-102,06;93,7%;22,7%;6 650,97;155,40;1 513,77;145,08;1 503,07;-10,32;-10,70;99,3%;22,6%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Наименование ;Продажи по заключенным ДДУ, руб.;;;;;;;;;Поступления на эскроу , руб.;;;;;;;;;;;;;
;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце;Факт* накопительно;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;;;;
Квартиры;1 215 539 359;31 689 344;273 202 364;0;241 513 020;-31 689 344;-31 689 344;88,4%;19,9%;1 215 539 359;35 000 000;94 417 503;7 766 427;67 183 930;-27 233 573;-27 233 573;71,2%;5,5%;;;;;
1-ком. квартира;331 321 307;12 014 511;45 918 251;0;33 903 740;-12 014 511;-12 014 511;73,8%;10,2%;331 321 307;;0;;;;;;;;;;;
