№ статей;ID Код;Этап работ;ГПР;Отставание;Начало тендера;;;Дата заключения договора;;;Стоимость (руб.);;;Контрагент;Договор;Статус;Комментарий к отклонениям
;;;;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;
1;2.05.01.1;Работа 1;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
2;2.05.02.1;Работа 2;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
3;2.05.03.1;Работа 3;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
4;2.05.04.1;Работа 4;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
5;2.05.05.1;Работа 5;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
6;2.05.06.1;Работа 6;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
7;2.05.07.1;Работа 7;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
8;2.05.08.1;Работа 8;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
9;2.05.09.1;Работа 9;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
10;2.05.10.1;Работа 10;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
11;2.05.11.1;Работа 11;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
12;2.05.12.1;Работа 12;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
13;2.05.13.1;Работа 13;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
