;"Проект ""Многоквартирный жилой дом по ул. Седова в г. Иркутске""";;;;;;;;;;;;;;;;;;;;;;;;;;
;Исполнение графика закупок по крупным позициям ТМЦ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;отчетная дата:;30.06.2026;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;ID Код;Этап работ;Наименование ТМЦ;Дата начала по ГПР;Срок подачи заказа до начала работ;Дата подачи заявки (полного технического задания);;;За сколько должен быть заключен договор;Дата заключения договора;;;Дата поставки;;;Дата заключения договора;;;Ед. изм.;Объем поставки;;;Поставщик;Договор;Статус;Комментарий к отклонениям;
;;;;План;кол-во дней (план);План;Факт;Откл.;кол-во дней (план);План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;План;Факт;Откл.;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2.04.;Подготовка территории строительства;;01.07.2025;;;;;;;;;;;;;;;;;;;;;;;
;2.04.01.;Снос зданий и сооружений, вырубка деревьев;;;;;;;;;;;;;;;;;;;;;;;;;
;2.04.03.;Вынос сетей;;;;;;;;;;;;;;;;;;;;;;;;;
;2.04.04.;Устройство площадки строительства, и вр. дороги;;01.07.2025;;;;;;;;;;;;;;;;;;;;;;;
;2.04.05.;Устройство временных зданий и сооружений;;22.09.2025;;;;;;;;;;;;;;;;;;;;;;;
;2.04.06.;Устройство ограждения площадки;;02.07.2025;;;;;;;;;;;;;;;;;;;;;;;
;2.04.07.;Вертикальная планировка;;;;;;;;;;;;;;;;;;;;;;;;;
;2.04.99.;Прочие подготовительные расходы;;01.09.2025;;;;;;;;;;;;;;;;;;;;;;;
;;Жилой дом;;;;;;;;;;;;;-46 362  ;;;;;;;-5293,47;;;;;
;2.05.;Строительство зданий и сооружений;;17.09.2025;;;;;;;;-371,00  ;;;-46 362,00  ;;;-402,00  ;;;;-5 293,47  ;;;;;
;2.05.01.;Земляные работы;;17.09.2025;;;;;;;;-371;;;-6  ;;;-18;;;;-0,78;;;;;
1;2.05.01.1.;Устройство котлована;;25.09.2025;;;;;;;;;;;;;;;;;;;;;;;
2;2.05.01.2.;Отсыпка и уплотнение основания фундамента;ПГС;09.10.2025;30;09.09.2025;;;15;24.09.2025;01.10.2025;7;09.10.2025;04.10.2025;-5  ;19.10.2025;01.10.2025;-18;т;5787,84;5787,06;-0,78;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
3;2.05.01.9.;Прочие земляные работы;Сваи С80.35-13.1.у;17.09.2025;60;19.07.2025;;;30;18.08.2025;05.08.2024;-378;17.09.2025;16.09.2025;-1  ;05.08.2024;05.08.2024;0;шт;47,00;47,00;0,00;ЖБИ Сигма ООО;124338;поставлено;;
;2.05.02.;Конструкции железобетонные ниже 0.000;;22.10.2025;;;;;;;;;;;67  ;;;-353;;;;-551,45  ;;;;;
4;2.05.02.1.;Устройство свайного основания;;;;;;;;;;0;;;0  ;;;0;;;;;;;;;
5;2.05.02.2.;Устройство фундамента;;22.10.2025;;;;;;;;0;;;-13  ;;;-389;;;;-2 086,98  ;;;;;
;-;Устройство фундамента;Арматура;22.10.2025;60;23.08.2025;;;30;22.09.2025;08.10.2025;16;22.10.2025;09.10.2025;-13  ;08.10.2025;;0;кг;69 557,00;67 541,00;-2016,00;Темерсо АО;191660 от 15.09.2025;поставлено;;
;-;Устройство фундамента;Бетон Б 7,5;22.10.2025;;;;;30;22.09.2025;19.09.2025;-3;22.10.2025;22.10.2025;0  ;;;;м3;78,78;61,00;-18;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство фундамента;Бетон Б 12,5;22.10.2025;;;;;30;22.09.2025;19.09.2025;-3;11.04.2026;11.04.2026;0  ;;;;м3;20,00;20,00;0;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство фундамента;Бетон Б 25;22.10.2025;;;;;30;22.09.2025;19.09.2025;-3;11.11.2025;11.11.2025;0  ;;;;м3;671,2;618;-53;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство фундамента;Бетон Б 25;22.10.2025;;;;;30;;;0;27.10.2025;27.10.2025;0  ;;;;м3;50;50;0;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
6;2.05.02.3.;Устройство цоколя;;05.11.2025;;;;;;;;0;;;26  ;;;36;;;;2381;;;;;
;-;Устройство  цоколя / Устройство  стен цоколя на отм. -7,100;Арматура;05.11.2025;60;06.09.2025;;;30;06.10.2025;06.11.2025;31;05.11.2025;07.11.2025;2  ;05.11.2025;06.11.2025;1;кг;36 463,17;37 069,00;605,83;Темерсо АО;191660 от 15.09.2025;поставлено;;
;-;Устройство  цоколя / Устройство плиты покрытия на отм.-3,800;Арматура;05.11.2025;60;06.09.2025;;;30;06.10.2025;02.12.2025;57;19.11.2025;08.12.2025;19  ;19.11.2025;02.12.2025;13;кг;17 306,50;18 038,00;731,50;Темерсо АО;191660 от 15.09.2025;поставлено;;
;-; Устройство  цоколя / Устройство стен цоколя на отм. -3,800;Арматура;05.11.2025;60;06.09.2025;;;30;06.10.2025;10.12.2025;65;12.01.2026;23.12.2025;-20  ;10.12.2025;10.12.2025;0;кг;44 098,00;44 216,55;118,55;Темерсо АО;191660 от 15.09.2025;поставлено;;
;-;Устройство  цоколя / Устройство плиты покрытия на отм. -0,000;Арматура;05.11.2025;60;06.09.2025;;;30;06.10.2025;27.02.2026;144;05.02.2026;02.03.2026;25  ;05.02.2026;27.02.2026;22;кг;13 850,00;14 779,45;929,45;Темерсо АО;191660 от 15.09.2025;поставлено;;
;-;Устройство цоколя / Стены -7,100;Бетон Б25;05.11.2025;;;;;;;;0;24.11.2025;24.11.2025;0  ;;;;м3;54,91;50,00;-4,91;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Стены -7,100;Бетон Б25;05.11.2025;;;;;;;;0;05.12.2025;05.12.2025;0  ;;;;м3;44,00;44,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Стены -7,100;Бетон Б25;05.11.2025;;;;;;;;0;06.12.2025;06.12.2025;0  ;;;;м3;34,00;34,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Стены -7,100;Бетон Б25;05.11.2025;;;;;;;;0;13.12.2025;13.12.2025;0  ;;;;м3;67,00;67,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Стены -7,100;Бетон Б25;05.11.2025;;;;;;;;0;16.12.2025;16.12.2025;0  ;;;;м3;57,50;57,50;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Плита -3,800;Бетон Б25;05.11.2025;;;;;;;;0;18.12.2025;18.12.2025;0  ;;;;м3;60,70;57,50;-3,20;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Плита -3,800;Бетон Б25;05.11.2025;;;;;;;;0;27.12.2025;27.12.2025;0  ;;;;м3;73,50;73,50;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Плита -4,210;Бетон Б25;05.11.2025;;;;;;;;0;10.03.2026;10.03.2026;0  ;;;;м3;17,00;17,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;Второй свет;
;-;Устройство цоколя / Стены -3,800;Бетон Б25;05.11.2025;;;;;;;;0;11.02.2026;11.02.2026;0  ;;;;м3;88,76;97,00;8,24;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Стены -3,800;Бетон Б30;05.11.2025;;;;;;;;0;05.03.2026;05.03.2026;0  ;;;;м3;109,00;109,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;Марка вне плана, по решению рук объекта во избежания промерзания;
;-;Устройство цоколя / Стены -3,800;Бетон Б25;05.11.2025;;;;;;;;0;24.03.2026;24.03.2026;0  ;;;;м3;110,00;110,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Плита 0,000;Бетон Б25;05.11.2025;;;;;;;;0;14.03.2026;14.03.2026;0  ;;;;м3;84,29;80,00;-4,29;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;-;Устройство цоколя / Плита 0,000;Бетон Б25;05.11.2025;;;;;;;;0;09.04.2026;09.04.2026;0  ;;;;м3;83,00;83,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
7;2.05.02.4.;Гидроизоляция и утепление цоколя и фундамента;;10.02.2026;;;;;;;;0;;;54  ;;;0;;;;-845,63;;;;;
;-;Гидроизоляция и утепление цоколя и фундамента;Экструдированный пенополистирол CARBON SOLID 500 t=100 мм;10.02.2026;90;12.11.2025;;;60;12.12.2025;01.09.2025;-102;01.03.2026;15.04.2026;45  ;01.09.2025;01.09.2025;0;м3;46,00;50,37;4,37;МСВ ООО ;" 191145
от 01.09.2025";поставлено;16.03.2026 г. Объем 50,372 м3 - 50 мм;
;-;Гидроизоляция и утепление цоколя и фундамента;Оклеечная гидроизоляция первый слой без посыпки (ЭПП) 4 мм;10.02.2026;90;12.11.2025;;;60;12.12.2025;01.09.2025;-102;19.11.2025;21.11.2025;2  ;01.09.2025;01.09.2025;0;м2;1 000,00;150,00;-850,00;МСВ ООО ;191145 от 01.09.2025;поставлено;;
;-;Гидроизоляция и утепление цоколя и фундамента;Оклеечная гидроизоляция первый слой без посыпки (ЭПП) 4 мм;10.02.2026;90;12.11.2025;;;60;12.12.2025;01.09.2025;-102;01.04.2026;07.04.2026;6  ;01.09.2025;01.09.2025;0;м2;700,00;700,00;0,00;ТД ТехноЛидер;"191011
от 01.09.2025 ";поставлено;;
;-;Гидроизоляция и утепление цоколя и фундамента;Оклеечная гидроизоляция первый слой без посыпки (ЭПП) 4 мм;10.02.2026;90;12.11.2025;;;60;12.12.2025;01.09.2025;-102;01.04.2026;02.04.2026;1  ;01.09.2025;01.09.2025;0;м2;760,00;760,00;0,00; ТехПром ООО;190972 от 01.09.2025;поставлено;;
8;2.05.02.5.;Обратная засыпка боковых пазух котлована;;10.02.2026;;;;;;;;0;;;0  ;;;0;;;;0,00;;;;;
9;2.05.02.9.;Прочие расходы на КЖ ниже 0;;22.10.2025;;;;;;;;0;;;0  ;;;0;;;;0,00;;;;;
;2.05.03.;Устройство опалубки;;22.10.2025;;;;;;;;;;;10  ;;;0;;;;-1;;;;;
;-;Устройство опалубки;Фанера ламинированная 1220*2440*18мм сорт 1/1;22.10.2025;60;23.08.2025;;;30;22.09.2025;29.10.2025;37;30.10.2025;31.10.2025;1  ;29.10.2025;29.10.2025;0;лист;254,00;254,00;0,00;ИП Лиходиевская ;595-п/09-2025 от 17.09.2025;поставлено;;
;-;Устройство опалубки;Брусок 50*100*6000;22.10.2025;закуп зима-весна, летом отсутсвует;22.09.2025;;;30;22.09.2025;09.10.2025;17;31.03.2026;31.03.2026;0  ;09.10.2025;09.10.2025;0;м3;21,10;19,98;-1,12;Кочкурова Анна Юрьевна ИП;по счетам, спец-м№ 193349 ;поставлено;;
;-;Устройство опалубки;Доска обрезная 40*150*6000;22.10.2025;зима-весна, летом отсутсвует;22.09.2025;;;30;22.09.2025;09.10.2025;17;31.03.2026;31.03.2026;0  ;09.10.2025;09.10.2025;0;м3;15,00;14,98;-0,02;Кочкурова Анна Юрьевна ИП;по счетам, спец-м№ 193349 ;поставлено;;
;-;Устройство опалубки;Фанера ламинированная 1220*2440*18мм сорт 1/1;22.10.2025;60;23.08.2025;;;30;22.09.2025;01.10.2025;9;22.10.2025;31.10.2025;9  ;01.10.2025;01.10.2025;0;лист;62,00;62,00;0,00;"Альянс ООО
ИП Лиходиевская Татьяна Викторовна"; 595-п-09-2025, 190966 от 01.09.2025 г.    ;поставлено;;
;2.05.04.;Устройство каркаса;;25.03.2026;;;;;;;;;;;-46 261  ;;;-16;;;;0;;;;;
;2.05.04.2.;Монолитные конструкции;;25.03.2026;;;;;;;;;;;-46 261,00;;;-16;;;;;;;;;
;?;Монолитные конструкции 1 этаж;Арматура;25.03.2026;60;24.01.2026;;;30;23.02.2026;16.03.2026;21;25.03.2026;17.03.2026;-8,00;16.03.2026;16.03.2026;0;кг;52 252,00;53 217,00;965,00;Темерсо АО;191660 от 15.09.2025;поставлено;;
;?;Монолитные конструкции 1 этаж;Бетон, Б25;25.03.2026;;;;;;;;;03.04.2026;03.04.2026;0  ;;;;м3;46,76;50,00;3,24;Нептун ООО;031-25 от 19.09.2025 ;Частично поставлен;;
;?;Монолитные конструкции 1 этаж;Бетон, Б25;25.03.2026;;;;;;;;;21.04.2026;21.04.2026;0  ;;;;м3;54,00;54,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 1 этаж;Бетон, Б25;25.03.2026;;;;;;;;;08.05.2026;08.05.2026;0  ;;;;м3;50,00;50,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 1 этаж;Бетон, Б25;25.03.2026;;;;;;;;;14.05.2026;14.05.2026;0  ;;;;м3;65,00;65,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 1 этаж;Бетон, Б25;25.03.2026;;;;;;;;;23.05.2026;23.05.2026;0  ;;;;м3;56,00;56,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 1 этаж;Бетон, Б25;25.03.2026;;;;;;;;;01.06.2026;01.06.2026;0  ;;;;м3;103,00;103,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 2 этаж;Арматура;20.05.2026;60;21.03.2026;;;30;20.04.2026;05.05.2026;15;20.05.2026;06.05.2026;-14,00;05.05.2026;05.05.2026;0;кг;31 779,00;31 495,00;-284,00;Темерсо АО;191660 от 15.09.2025;поставлено;;
;?;Монолитные конструкции 2 этаж;Бетон, Б25;;;;;;;;;;02.06.2026;02.06.2026;0  ;;;;м3;56,85;57,00;0,15;Нептун ООО;031-25 от 19.09.2025 ;Частично поставлен;;
;?;Монолитные конструкции 2 этаж;Бетон, Б25;;;;;;;;;;16.06.2026;16.06.2026;0  ;;;;м3;87,50;87,50;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 2 этаж;Бетон, Б25;;;;;;;;;;19.06.2026;19.06.2026;0  ;;;;м3;25,00;25,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 2 этаж;Бетон, Б25;;;;;;;;;;22.06.2026;22.06.2026;0  ;;;;м3;98,50;98,50;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 2 этаж;Бетон, Б25;;;;;;;;;;26.06.2026;26.06.2026;0  ;;;;м3;65,00;65,00;0,00;Нептун ООО;031-25 от 19.09.2025 ;поставлено;;
;?;Монолитные конструкции 3 этаж;Арматура;12.06.2026;60;13.04.2026;;;30;13.05.2026;09.06.2026;27;12.06.2026;11.06.2026;-1,00;09.06.2026;09.06.2026;0;кг;30 352,40;30 352,40;0,00;Темерсо АО;191660 от 15.09.2025;поставлено;;
