;;"Проект ""Многоквартирный жилой дом по ул. Седова в г. Иркутске""";;;;;;;;;;;;;;;;;;;;;
;;Исполнение ГПР;;;;;;;;;;;;;;;;;;;;;
;;отчетная дата:;;;;Разбивка;;;31.12.2025;;31.05.2026;;;;;;;;;;;;
;ID Код;Этап работ;Описание работ;Номер в номенклатурном справочнике ;Входит ли в состав ГПР;Разбивка на Объект, Строения, Секции;Принцип формирования Захваток;;Завершено в отчет. периоде;Работы в след. отчет. периоде;План;;;Факт;;;Прогресс выполнения работы, %;Отклонение;;;Причины отклонений, мероприятия по выполнению ГПР;;
№ статей;;;;;;;;;;;Дата начала;Дата окончания;Длительность (дней);Дата начала;Дата окончания;Длительность (дней);;Дата начала;Дата окончания;Длительность (дней);;;
;;;;;;;;;;;;;;;;;;;;;;;
;2.04.;Подготовка территории строительства;В этом блоке все расходы на поготовку площадки к началу стройки (расчистка, отсыпка, установка городка). Они не связаны с самим строительством зданий и не включаюбт покупку крупных основных средств более 100тр.;4;;;;;;;01.07.2025;28.02.2026;242;01.07.2025;28.02.2026;242;100;0;0;0;;;
1;2.04.01.;Снос зданий и сооружений, вырубка деревьев;Расходы, связанные с освобождением территории под строительство: снос зданий, сооружений, снос зеленых насаждений и компенсация и пр. (кроме сноса зданий при расселении КРТ, РЗТ). Вырубка деревьев и компенсация городу за вырубку;4.1;;;;1;;;;;0;;;0;;0;0;0;;;
2;2.04.03.;Вынос сетей;Расходы по выносу инженерных сетей из зоны котлована, в тч сопутствующие расходы типа геодезии;4.3;да;Объект;2 захватки - в границах и за границами участка;5;;;;;0;;;0;;0;0;0;;;
3;2.04.04.;Устройство площадки строительства, и вр. дороги;Отсыпка площадки ПГС, бетонные плиты (все, в тч для устройства городка и пункта колес), прочие расходы связанные с обустройством площадки;4.4;да;Объект;при необходимости;2;да;;01.07.2025;10.11.2025;132;01.07.2025;10.11.2025;132;100;0;0;0;;;
4;2.04.05.;Устройство временных зданий и сооружений;Проходные, временные бытовки, пункты мойки колес, кольца под слив, легкие конструкции кухонь и пр расходы связанные с ними. Временный водопровод. Прокладка освещения и электрики городка. Ремонт бытовок. За исключением расходов на приобретение дорогостоящих объектов (более 100тр)- в этом случае это в инвест деятельности как основые средств. Все плиты временных зданий в устройстве площадки);4.5;да;Объект;при необходимости;2;;;22.09.2025;28.02.2026;159;22.09.2025;28.02.2026;159;100;0;0;0;;;
5;2.04.06.;Устройство ограждения площадки;Забор вокруг площадки строительства и внутренние заборы для разграничения зон (склад, городок и тп), включая ворота;4.6;да;Объект;при необходимости;2;да;;02.07.2025;20.11.2025;141;02.07.2025;20.11.2025;141;100;0;0;0;;;
6;2.04.07.;Вертикальная планировка;вертикальная планировка до проектных отметок и вывоз грунта, включенный в цену м3 вертикалки (за исключением мелких работ по вертикалке при благоустройстве);4.7;да;Объект;при необходимости;1;;;;;0;;;0;;0;0;0;;;
7;2.04.99.;Прочие подготовительные расходы;;4.8;;;;;да;;01.09.2025;18.11.2025;78;01.09.2025;18.11.2025;78;100;0;0;0;;;
;;Жилой дом;Суммарная позиция касающаяся непосредственно строящихся обектов (все что возводитв в рамках проекта зданий от котлована до кровли);;;;;;;;;;;;;;;;;;;;
;2.05.;Строительство зданий и сооружений;Суммарная позиция касающаяся непосредственно строящихся обектов (все что возводитв в рамках проекта зданий от котлована до кровли);;;;;;;;17.09.2025;30.10.2027;773;22.10.2025;;0;;35;0;0;;;
;2.05.01.;Земляные работы;Суммарная позиция;5;да;Строения;без разбивки;;;;17.09.2025;18.10.2025;31;17.09.2025;19.10.2025;32;100;0;1;1;;;
1;2.05.01.1.;Устройство котлована;Раборы по копке основания и ручной доработке фундамента без обратной засыпки и уплотнения. Включаются при цене за м3 в рамках проекта. Вывоз грунта и работа по рыхлению мерзлого грунта и демонтаж пр. конструкций в котловане. Ручная уборка обвалов грунта;5.1;;;;2;;;25.09.2025;18.10.2025;23;19.09.2025;11.10.2025;22;100;-6;-7;-1;;;
2;2.05.01.2.;Отсыпка и уплотнение основания фундамента;Уплотнение местного грунта основания, устройство отсыпки подушки и замены грунта с уплотнением в т.ч. с приобитением инертных материалов;5.2;;;;2;;;09.10.2025;18.10.2025;9;04.10.2025;19.10.2025;15;100;-5;1;6;;;
3;2.05.01.9.;Прочие земляные работы;Водопонижение, шпунтовое ограждение и пр. затраты;5.3;при необходимости;;;2;;;17.09.2025;10.10.2025;23;17.09.2025;22.09.2025;5;100;0;-18;-18;;;
;2.05.02.;Конструкции железобетонные ниже 0.000;Суммарная позиция пор затратам ниже уровня земли (кроме фасада);6;;;;;;;22.10.2025;15.04.2026;175;22.10.2025;22.04.2026;182;100;0;7;7;;;
4;2.05.02.1.;Устройство свайного основания;Устройство свайного поля. Приобретение, раскладка, погружение, срезка, срубка, динамическое испытания свай, сварка составных свай,лидерное бурение, временные дороги в котловане под копер. Без расходов с ценой за час. Без статического испытания свай.;6.1;при наличии;Строения;;1;;;;;0;;;0;;0;0;0;;;
5;2.05.02.2.;Устройство фундамента;Устройство фундамента с выпусками. При этом включаем в затраты обратную засыпку пазухов фундамента, если такие существуют. Зачистка арматуры, арматура, проволока, бетон с доставкой, трубки. Все добавки, в т.ч. Гидроизоляционные в бетон, а так же затраты на устройства гидрошпонов;6.2;Да;Строения;без разбивки;2;да;;22.10.2025;10.11.2025;19;22.10.2025;13.11.2025;22;100;0;3;3;;;
6;2.05.02.3.;Устройство цоколя;Устройство цокольного этажа с отметки верха фундамента. Зачистка арматуры, арматура, проволока, бетон с доставкой, трубки. Все добавки, в т.ч. Гидроизоляционные в бетон, а так же затраты на устройства гидрошпонов;;Да;Строения;поэтажно, включая перекрытие над этажом ;;;;05.11.2025;28.02.2026;115;14.11.2025;10.04.2026;147;100;9;41;32;Аномальныные минусовые  температуры  в январе и феврале 2026 года;;
7;2.05.02.4.;Гидроизоляция и утепление цоколя и фундамента;Вся гидроизоляция и утепление стен цоколя и фундамента, в тч гидроизоляция фасада под обратной засыпкой и устройство прижимной стенки. За исключением таких работ под облицовкой, которые не закрываются обратной засыпкой -они в фасаде;6.3;Да;блок-секции;по наружным осям;2;;;10.02.2026;01.03.2026;19;13.03.2026;20.04.2026;38;100;31;50;19;Перенос сроков по устройству цоколя;;
8;2.05.02.5.;Обратная засыпка боковых пазух котлована;Обратная засыпка только боковых пазухов котлована. Пазухи фундаментов учитываются в устройстве фундамента и цоколя;6.4;Да;блок-секции;по наружным осям;2;;;10.02.2026;01.03.2026;19;24.03.2026;22.04.2026;29;100;42;52;10;Перенос сроков по устройству гидроизоляции;;
9;2.05.02.9.;Прочие расходы на КЖ ниже 0;Устройство деформационных швов, пропилка отверстий, заделка отверстий;6.5;;;;3;;;22.10.2025;15.04.2026;175;22.10.2025;22.04.2026;182;100;0;7;7;;;
10;2.05.03.;Устройство опалубки;Затраты на приобретение опалубки на весь цикл строительства, в тч тяжи, фанера, брус,эмульсол и тд. Инвентарную опалубку учитываем в случае аренды, а ее покупку учитываем в статье инвест расходов на основные средства.;7;;;;3;;;22.10.2025;30.09.2026;343;22.10.2025;;0;;0;0;0;;;
;2.05.04.;Устройство каркаса выше 0000;Суммарная позиция содержащая расходы на каркас возводимого здания выше 0 отметки;8;Да;блок-секции;Да, с разбивкой по этажам и захваткам;;;;25.03.2026;30.09.2026;189;25.03.2026;;0;;0;0;0;;;
11;2.05.04.2.;Монолитные конструкции;Затраты на устройство конструкций из монолитного железобетона а также сборный ж/бетон конструкции монолитна. Например лестницы. Сборные ж/б вент шахты учитываются в вентиляции, также фиксаторы, трубки ПВХ и пр. кроме эмульсола;8.1;;;;2;;;25.03.2026;30.09.2026;189;25.03.2026;;0;;0;0;0;;;
;2.05.04.2.1;Монолитные конструкции 1 этаж;;;;;;;;;25.03.2026;05.06.2026;72;25.03.2026;01.06.2026;68;;0;-4;-4;01.06.2026 закончены работы 1 этажа;;
;2.05.04.2.2;Монолитные конструкции 2 этаж;;;;;;;;;20.05.2026;19.06.2026;30;21.05.2026;19.06.2026;29;;1;0;-1;19.06.2026 закончены работы 2 этажа. 17дней ;;
;2.05.04.2.3;Монолитные конструкции 3 этаж;;;;;;;;;12.06.2026;06.07.2026;24;22.06.2026;;0;;10;0;0;;;
;2.05.04.2.4;Монолитные конструкции 4 этаж;;;;;;;;;01.07.2026;20.07.2026;19;;;0;;0;0;0;;;
;2.05.04.2.5;Монолитные конструкции 5 этаж;;;;;;;;;15.07.2026;03.08.2026;19;;;0;;0;0;0;;;
;2.05.04.2.6;Монолитные конструкции 6 этаж;;;;;;;;;29.07.2026;17.08.2026;19;;;0;;0;0;0;;;
;2.05.04.2.7;Монолитные конструкции 7 этаж;;;;;;;;;12.08.2026;31.08.2026;19;;;0;;0;0;0;;;
;2.05.04.2.8;Монолитные конструкции 8 этаж;;;;;;;;;26.08.2026;14.09.2026;19;;;0;;0;0;0;;;
;2.05.04.2.9;Монолитные конструкции 9 этаж;;;;;;;;;09.09.2026;27.09.2026;18;;;0;;0;0;0;;;
;2.05.04.2.10;Монолитные конструкции Кровля;;;;;;;;;21.09.2026;30.09.2026;9;;;0;;0;0;0;;;
12;2.05.04.3.;Прогрев бетона;Прогрев бетона (аренда пушек, расходы на их обслуживание и ГСМ). В т.ч. Расходы на прогрев ниже 0, чтобы не выделять) Здесь же устройство тепляков для прогрева, ПНСВ, Полога и пр.;8.2;;;;3;;;25.03.2026;23.04.2026;29;25.03.2026;23.04.2026;29;100;0;0;0;;;
13;2.05.04.4.;Отверстия и проемы в каркасе;пропилка отверстий, заделка отверстий;8.3;;;;3;;;25.03.2026;30.09.2026;189;25.03.2026;;0;;0;0;0;;;
14;2.05.04.9.;Прочие расходы на каркас;;8.4;;;;2;;;25.03.2026;30.09.2026;189;25.03.2026;;0;;0;0;0;;;
;2.05.05.;Отделка фасада;Суммарная позиция;;;;;;;;15.01.2027;30.08.2027;227;;;0;;0;0;0;;;
15;2.05.05.1.;Облицовка стен фасада кирпичом;Расходы на возведение фасада из облицовочного кирпича и облицовки поясов перекрытия. Весь фасад, даже если он ниже 0, но он из облицовочного кирпича. В тч работы под облицовкой, которые не закрываются обратной засыпкой. Включая все нащельники на окна и двери (пароотбойники). Входит кирпич, раствор, венткоробки, герметик, дюбеля, минплита, сетка кладочная, уголки.;9;Да;блок-секции;Поэтажно;3;;;01.03.2027;03.07.2027;124;;;0;;0;0;0;;;
;2.05.05.1.1;Облицовка фасада кирпичом 3 этаж;;;;;;;;;01.03.2027;20.03.2027;19;;;0;;0;0;0;;;
;2.05.05.1.2;Облицовка фасада кирпичом 4 этаж;;;;;;;;;22.03.2027;10.04.2027;19;;;0;;0;0;0;;;
;2.05.05.1.3;Облицовка фасада кирпичом 5 этаж;;;;;;;;;12.04.2027;01.05.2027;19;;;0;;0;0;0;;;
;2.05.05.1.4;Облицовка фасада кирпичом 6 этаж;;;;;;;;;03.05.2027;22.05.2027;19;;;0;;0;0;0;;;
;2.05.05.1.5;Облицовка фасада кирпичом 7 этаж;;;;;;;;;24.05.2027;12.06.2027;19;;;0;;0;0;0;;;
;2.05.05.1.6;Облицовка фасада кирпичом 8 этаж;;;;;;;;;14.06.2027;03.07.2027;19;;;0;;0;0;0;;;
16;2.05.05.2.;Устройство вентилируемого фасада;Расходы на устройство всех слоев кроме несущего на устройство навесного фасада без разделения на финишний слой (кроме облицовки поясов перекрытия - это в облицовке кирпичем). Включая все нащельники на окна и двери (откосы и отсечки без пароотбойников на кирпичной кладке и оконных отливов). Минплита, панели, подсистема, дюбели. Также учитываем выносные металлические конструкции (фризы). И проект вентфасада тоже тут.;10;Да;блок-секции;по наружным осям;3;;;15.01.2027;30.08.2027;227;;;0;;0;0;0;;;
17;2.05.05.3.;Подсветка фасада;Освещение фасада, установка подсвечивающихся табличек на фасаде;11;Да;блок-секции;без разбивки;1;;;15.01.2027;30.08.2027;227;;;0;;0;0;0;;;
18;2.05.05.4.;Устройство штукатурного фасада;Расходы на устройство штукатурного фасада с утеплителем без устройства несущей поверхности. Включаяя утеплитель, клеи, грунтовки, штукатурные слои, окраску или декоративную штукатурку, отделку откосов из штукатурки. Если просто штукатуриться и красится поверхность несущих конструкций, то это в отделку МОПа или продаваемых помещений;12;Да;блок-секции;по наружным осям;2;;;;;0;;;0;;0;0;0;;;
19;2.05.05.9.;Прочие расходы на фасад;корзины под кондиционеры, труба наружная ливневка. Воронки, свесы, подшивку, водостоки на кровле устанавливает кровельщик, поэтому они в кровле;13;Да;блок-секции;по наружным осям;1;;;15.01.2027;30.08.2027;227;;;0;;0;0;0;;;
