№ п/п;Наименование ТМЦ;Этап работ ГПР;Дата поставки;;;Дата заключения договора;;;Ед. изм.;Объем поставки;;;Цена закупки за ед. (руб.);;;Стоимость (руб.);;;Поставщик;Договор;Статус;Комментарий к отклонениям;
;;;План;Факт;Откл.;План;Факт;Откл.;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;;
1;Сваи С80.35-13.1.у;2.05.01.9. Прочие земляные работы;17.09.2025;16.09.2025;-1;05.08.2024;05.08.2024;0;шт;47,00;47,00;0,00;36 307,20;33 997,00;-2 310,20;1 706 438,40;1 597 859,00;-108 579,40;"ООО ""ЖБИ Сигма""";"Договор поставки (по счетам, спец-м)
№ 124338";поставлено;;
2;Арматура;2.05.02.2. Устройство фундамента;22.10.2025;09.10.2025;-13;08.09.2025;08.10.2025;30;кг;72 402,99;69 018,00;-3 384,99;79,00;59,00;-20,00;5 719 836,21;4 072 062,00;-1 647 774,21;"АО ""Темерсо""";Договор поставки №191660 от 15.09.2025;поставлено;;
3;ПГС;2.05.01.2. Отсыпка и уплотнение основания фундамента (2);09.10.2025;04.10.2025;-5;19.10.2025;01.10.2025;-18;т;"5787,84
";5 787,06;-0,78;900,00;650,00;-250,00;5 209 056,00;3 761 878,35;-1 447 177,65;ООО «Нептун»; Договор поставки №031-25 от 19.09.2025 ;поставлено;;
4;Фанера ламинированная 1220*2440*18мм сорт 1/1;2.05.03. Установка опалубки;30.10.2025;31.10.2025;1;28.10.2025;29.10.2025;1;лист;254,00;254,00;0,00;3 100,00;3 030,00;-70,00;787 400,00;777 240,00;-10 160,00;ИП Лиходиевская ; Договор поставки №595-п/09-2025 от 17.09.2025;поставлено;;
5;Брусок 50*100*6000;2.05.03. Установка опалубки;31.03.2026;31.03.2026;0;23.09.2025;09.10.2025;16;м3;21,10;19,98;-1,12;20 000,00;18 000,00;-2 000,00;422 000,00;359 604,00;-62 396,00;Кочкурова Анна Юрьевна ИП;"
Договор Поставки (по счетам, спец-м) № 193349 ";поставлено;;
6;Доска обрезная 40*150*6000;2.05.03. Установка опалубки;31.03.2026;31.03.2026;0;23.09.2025;09.10.2025;16;м3;15,00;14,98;-0,02;23 000,00;18 000,00;-5 000,00;345 000,00;269 568,00;-75 432,00;Кочкурова Анна Юрьевна ИП;"
Договор Поставки (по счетам, спец-м) № 193349 ";поставлено;;
7;"
Фанера хвойная 2440х1220 сорт 3/3 18 мм";2.05.03. Установка опалубки; 18.03.2026; 18.03.2026;0;17.09.2025;21.10.2025;34;лист;62,00;62,00;0,00;3 100,00;2 424,03;-675,97;153 140,00;150 290,00;-2 850,00;"Альянс ООО
ИП Лиходиевская Татьяна Викторовна";"
Договор поставки № 595-п-09-2025   Договор поставки № 190966 от 01.09.2025 г.    ";поставлено;;
8;Экструдированный пенополистирол CARBON SOLID 500 t=100 мм;2.05.02.4. Гидроизоляция и утепление цоколя и фундамента;01.03.2026;15.04.2026;45;01.09.2025;01.09.2025;0;м3;46,00;50,37;4,37;8 300,00;6 846,00;-1 454,00;381 800,00;344 846,71;-36 953,29;"ООО ""МСВ""";"Договор Поставки № 191145
от 01.09.2025";поставлено;16.03.2026 г. Объем 50,372 м3 - 50 мм;
9;Оклеечная гидроизоляция первый слой без посыпки (ЭПП) 4 мм;2.05.02.4. Гидроизоляция и утепление цоколя и фундамента;19.11.2025;21.11.2025;2;01.09.2025;01.09.2025;0;м2;1 000,00;150,00;-850,00;751,98;440,50;-311,48;66 075,00;66 075,00;0,00;ООО МСВ;Договор поставки №191145 от 01.09.2025;поставлено;;
